dataset,model,method,clients,attack,malicious_fraction,alpha,seed,round,accuracy,macro_f1,precision,recall,fpr,params,model_kb,bytes_per_round,round_time_s
edge_iiotset,mlp,trimmed_mean,10,backdoor,0.2,0.5,42,1,0.34522509934064016,0.16270977445654236,0.1828601668024202,0.22081134037599662,0.04680150394402457,79247,309.559,3513048,1.21
edge_iiotset,mlp,trimmed_mean,10,backdoor,0.2,0.5,42,2,0.511637046417187,0.3044132132033502,0.32349614525608106,0.3724233555507259,0.034887882754278614,79247,309.559,3513048,1.423
edge_iiotset,mlp,trimmed_mean,10,backdoor,0.2,0.5,42,3,0.6256058687393563,0.4259909200700955,0.4120579087159732,0.48720039822621247,0.026748585630997312,79247,309.559,3513048,1.155
edge_iiotset,mlp,trimmed_mean,10,backdoor,0.2,0.5,42,4,0.6804506353434348,0.49067382948367916,0.5166008932927321,0.5559341782558188,0.022835122633816898,79247,309.559,3513048,1.206
edge_iiotset,mlp,trimmed_mean,10,backdoor,0.2,0.5,42,5,0.730754115540806,0.5818348065223516,0.6506937157643515,0.6335704075860701,0.019240446634844637,79247,309.559,3513048,1.21
